"","chr","pos"
"D10M44","1",0
"D1M3","1",1.58071838889839
"D1M75","1",30.7996659059738
"D1M215","1",49.356289869744
"D1M309","1",60.9970212637563
"D1M218","1",64.6359188952965
"D1M451","1",84.8318462525018
"D1M504","1",85.6740987795371
"D1M113","1",96.314378256123
"D1M355","1",97.157479340928
"D1M291","1",100.828035869281
"D1M209","1",109.123725454244
"D1M155","1",110.533376353593
"D2M365","2",0
"D2M37","2",36.3304031073214
"D2M396","2",60.3649022570711
"D2M493","2",85.3416693866243
"D2M226","2",96.9778537809147
"D2M148","2",113.459928716106
"D3M265","3",0
"D3M51","3",42.9509110442504
"D3M106","3",56.3432189621592
"D3M257","3",72.4471039683847
"D3M147","3",79.0179942069026
"D3M19","3",88.0480728654507
"D4M2","4",0
"D4M178","4",23.6380143892052
"D4M187","4",42.9272137959429
"D4M251","4",87.1303343927513
"D5M148","5",0
"D5M232","5",7.15333476000665
"D5M257","5",22.1110415924124
"D5M83","5",22.5293457558289
"D5M307","5",26.834155288628
"D5M357","5",28.6790929719474
"D5M205","5",34.2388580041954
"D5M398","5",34.8122887993423
"D5M91","5",36.9457966377424
"D5M338","5",42.3600069573962
"D5M188","5",48.7741455556185
"D5M29","5",56.1538684671659
"D5M168","5",68.6575651368913
"D6M223","6",0
"D6M188","6",9.21941304381755
"D6M284","6",15.4658217854533
"D6M39","6",23.5193221387615
"D6M254","6",35.6377901481501
"D6M194","6",39.3620694451763
"D6M290","6",41.8039744961489
"D6M25","6",45.5881874186265
"D6M339","6",46.0269096124499
"D6M59_","6",49.840266556187
"D6M201","6",53.6521070064532
"D6M15","6",54.0716619392174
"D6M294","6",55.7807351586001
"D7M246","7",0
"D7M145","7",22.8379341541924
"D7M62","7",42.3332417040981
"D7M126","7",49.1706212368454
"D7M105","7",71.9570919256691
"D7M259","7",85.9804278707419
"D8M94","8",0
"D8M339","8",1.7102623810636
"D8M178","8",12.8684024302745
"D8M242","8",31.0905359432219
"D8M213","8",37.6323488006807
"D8M156","8",59.3037602848843
"D9M247","9",0
"D9M328","9",5.81914211236486
"D9M106","9",17.8772013004224
"D9M269","9",32.2094012767989
"D9M346","9",38.4389216699741
"D9M55","9",52.2103334748608
"D9M18","9",60.3019909813086
"D10M298","10",0
"D10M294","10",31.2078323801111
"D10M42_","10",50.2057937446084
"D10M10","10",60.0414656776295
"D10M233","10",74.1357314699407
"D11M78","11",0
"D11M20","11",18.064335270868
"D11M242","11",30.9376374806824
"D11M356","11",44.9100259430709
"D11M327","11",49.13070325289
"D11M333","11",76.9479841023776
"D12M105","12",0
"D12M46","12",7.08391045988334
"D12M34","12",25.0936129838846
"D12M5","12",33.6599344029911
"D12M99","12",48.3046600573682
"D12M150","12",62.9456419350807
"D13M59","13",0
"D13M88","13",1.86674158403214
"D13M21","13",14.6808330790601
"D13M39","13",18.3296054274225
"D13M167","13",18.3296055274225
"D13M99","13",24.2686898908028
"D13M233","13",26.431108278733
"D13M106","13",30.4141195343578
"D13M147","13",32.1005543014993
"D13M226","13",34.9349081206779
"D13M290","13",35.3897184501781
"D13M151","13",44.4616974348974
"D14M14","14",0
"D14M115","14",30.5065919193801
"D14M265","14",40.6419210119608
"D14M266","14",55.9605817880747
"D15M226","15",0
"D15M100","15",15.6935029204616
"D15M209","15",21.4470801443071
"D15M144","15",22.0765446983209
"D15M68","15",26.7806647450941
"D15M239","15",28.0568154958313
"D15M241","15",34.7573284018948
"D15M34","15",48.3851562264542
"D16M154","16",0
"D16M4","16",20.18338447756
"D16M139","16",30.7606839712619
"D16M86","16",48.9677511972762
"D17M260","17",0
"D17M66","17",14.3869759095609
"D17M88","17",20.694646623731
"D17M129","17",47.4579640960054
"D18M94","18",0
"D18M58","18",1.14549774929219
"D18M106","18",20.288112098311
"D18M186","18",25.113278229355
"D19M68","19",0
"D19M117","19",20.0704898022939
"D19M65","19",39.5652106499211
"D19M10","19",52.9404676927091
"DXM186","X",0
"DXM64","X",60.4718941883472
